RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,DelqEver,DelqLast12M,PercentSatisfactoryTrades,TradeFreq,NumTotalDelqTrades
Good,86,199,6,67,10,0,0,100,122,7,7,10,1,30,4,1,1,12,32,3,1,0,50,FALSE,FALSE,100,50,0
Bad,60,197,4,70,6,2,2,71,25,7,2,7,1,14,0,1,1,23,82,3,1,1,80,TRUE,FALSE,86,35,3
Good,66,93,1,49,24,1,1,81,38,7,2,27,4,19,0,0,0,47,57,3,3,1,64,TRUE,FALSE,89,287,6
Good,67,279,3,80,51,0,0,94,13,7,6,52,2,37,0,1,1,45,86,15,4,3,70,TRUE,FALSE,98,186,4
Bad,78,125,5,63,19,0,0,100,122,7,7,20,1,55,1,0,0,39,66,4,4,1,100,FALSE,FALSE,95,159,0
Good,88,435,4,164,19,0,0,100,122,7,7,19,1,0,4,1,1,3,,6,2,0,43,FALSE,FALSE,100,44,0
Bad,83,221,11,67,19,0,0,100,122,7,7,21,1,21,10,0,0,4,36,1,3,0,29,FALSE,FALSE,90,95,0
Bad,71,106,0,39,22,0,0,92,54,7,6,25,7,52,0,3,2,32,94,4,4,1,67,TRUE,FALSE,88,234,2
Bad,74,193,1,91,19,0,0,100,122,7,7,22,2,18,36,1,1,90,79,6,2,4,73,FALSE,FALSE,86,113,0
Good,72,156,2,53,16,2,0,89,50,7,5,24,1,37,36,0,0,29,50,2,2,1,44,TRUE,FALSE,67,153,3
Bad,68,75,2,30,27,0,0,100,122,7,7,37,6,17,5,0,0,30,65,13,4,0,67,FALSE,FALSE,73,487,0
Good,91,396,22,127,18,0,0,100,122,7,7,18,0,17,1,0,0,5,,1,2,0,50,FALSE,FALSE,100,45,0
Good,78,162,8,58,38,0,0,100,122,7,7,53,2,18,2,1,1,6,80,3,3,0,32,FALSE,FALSE,72,325,0
Good,65,198,5,73,22,1,0,88,27,7,5,24,1,17,0,2,2,31,,3,1,1,57,TRUE,FALSE,92,121,3
Bad,58,25,1,10,3,0,0,100,122,7,7,4,3,25,0,4,4,85,,1,1,1,75,FALSE,FALSE,75,154,0
Bad,63,274,2,94,49,0,0,94,21,7,6,52,2,10,0,1,1,43,77,19,3,5,64,TRUE,FALSE,94,189,4
Bad,66,115,7,60,40,0,0,93,2,6,6,40,4,25,1,3,3,37,59,5,3,0,80,TRUE,TRUE,100,345,3
Bad,45,56,10,35,4,3,3,75,2,2,6,4,1,25,36,4,4,68,69,1,1,0,50,TRUE,TRUE,100,70,1
Good,73,116,23,65,23,0,0,100,122,7,7,23,0,39,1,1,1,25,70,3,4,1,62,FALSE,FALSE,100,197,0
Bad,57,164,7,62,16,1,1,72,2,6,3,19,2,47,0,1,1,67,62,5,2,3,100,TRUE,TRUE,84,115,6
Good,59,178,16,87,16,4,2,71,19,7,4,22,0,48,0,2,2,96,59,2,3,1,75,TRUE,FALSE,73,123,7
Good,80,198,10,72,25,0,0,100,122,7,7,25,1,24,0,1,1,7,23,1,2,0,50,FALSE,FALSE,100,126,0
Good,59,162,5,85,19,0,0,85,2,6,6,20,2,35,0,0,0,89,,8,1,2,90,TRUE,TRUE,95,123,3
Bad,57,172,56,116,10,12,12,58,20,2,2,21,0,17,0,0,0,12,,2,2,1,67,TRUE,TRUE,48,121,9
Good,61,106,17,60,6,0,0,86,1,6,6,7,0,43,5,0,0,84,,2,2,2,67,TRUE,TRUE,86,65,1
Good,84,125,15,81,13,0,0,100,122,7,7,14,0,36,0,1,1,0,70,0,3,0,38,FALSE,FALSE,93,111,0
Bad,71,83,2,33,23,0,0,96,62,7,6,26,5,23,0,11,11,23,92,4,3,0,47,TRUE,FALSE,88,310,2
Bad,66,375,16,183,21,1,0,83,4,5,5,23,0,52,0,3,3,24,,3,2,0,100,TRUE,TRUE,91,61,4
Good,82,306,1,105,18,0,0,95,26,7,6,20,1,25,2,1,1,6,100,9,1,0,77,TRUE,FALSE,90,65,1
Good,79,133,2,68,27,0,0,100,122,7,7,30,3,36,0,4,4,1,93,4,2,0,60,FALSE,FALSE,90,224,0
Good,82,280,13,102,22,0,0,91,26,7,6,23,0,9,0,0,0,3,,4,1,1,42,TRUE,FALSE,96,82,3
Good,62,128,4,57,16,4,2,71,5,6,2,21,2,33,0,0,0,48,39,8,2,1,100,TRUE,TRUE,76,163,7
Bad,60,123,5,52,13,4,3,73,8,2,2,15,3,33,6,0,0,26,,2,1,0,50,TRUE,TRUE,87,121,5
Bad,54,113,2,36,37,0,0,97,8,6,6,38,6,50,0,9,9,59,94,4,5,1,69,TRUE,TRUE,97,333,2
Bad,68,203,13,84,23,0,0,96,1,6,6,24,0,42,0,0,0,81,68,4,3,3,89,TRUE,TRUE,96,118,1
Good,59,213,24,90,13,0,0,85,5,6,6,14,0,54,1,10,10,104,,2,1,2,100,TRUE,TRUE,93,65,3
Good,87,347,14,139,25,0,0,100,122,7,7,31,0,20,4,1,1,8,81,4,2,0,55,FALSE,FALSE,81,89,0
Bad,87,204,1,78,45,0,0,100,122,7,7,46,2,59,14,0,0,1,95,3,2,0,50,FALSE,FALSE,98,224,0
Bad,66,174,2,59,7,1,1,90,62,7,6,10,2,30,0,1,1,86,,2,2,1,40,TRUE,FALSE,70,57,1
Bad,66,204,25,94,6,1,1,86,62,7,6,8,0,86,0,0,0,24,,1,1,1,100,TRUE,FALSE,75,39,2
Good,73,85,6,40,17,1,0,94,11,5,5,18,2,28,10,0,0,10,,3,2,0,36,TRUE,TRUE,94,209,2
Bad,67,233,12,66,13,1,0,87,10,6,5,15,0,67,0,1,1,33,81,3,2,1,83,TRUE,TRUE,87,64,2
Good,78,207,18,77,9,0,0,100,122,7,7,9,0,44,6,0,0,21,,2,1,1,75,FALSE,FALSE,100,43,0
Bad,61,59,4,17,9,0,0,100,122,7,7,9,4,22,0,8,8,89,90,3,2,2,100,FALSE,FALSE,100,150,0
Bad,72,204,4,67,21,2,0,91,28,7,5,25,7,52,36,0,0,66,95,5,4,0,100,TRUE,FALSE,84,122,3
Bad,75,198,4,69,30,0,0,100,122,7,7,30,3,13,0,0,0,46,97,4,2,2,67,FALSE,FALSE,100,151,0
Good,88,342,50,256,7,0,0,100,122,7,7,7,0,0,0,0,0,12,,3,2,0,60,FALSE,FALSE,100,20,0
Bad,60,70,8,39,10,2,1,83,19,7,5,13,1,58,0,1,1,89,93,4,3,2,88,TRUE,FALSE,77,183,3
Bad,61,350,5,92,33,2,0,86,1,5,5,36,5,25,0,1,1,43,74,6,3,1,53,TRUE,TRUE,92,103,6
Good,61,207,3,67,27,0,0,97,3,6,6,30,2,40,0,3,3,24,71,5,3,0,57,TRUE,TRUE,90,144,1
Good,78,256,2,83,25,0,0,100,122,7,7,27,1,19,3,1,1,34,,4,1,2,33,FALSE,FALSE,93,105,0
Good,74,215,5,75,29,1,1,87,43,7,4,42,1,32,11,0,0,57,,3,1,0,44,TRUE,FALSE,69,194,6
Bad,79,162,7,94,17,0,0,100,122,7,7,17,1,29,0,0,0,28,,3,1,1,57,FALSE,FALSE,100,104,0
Good,82,205,2,86,30,0,0,97,39,7,6,31,4,19,0,2,2,2,75,7,1,0,44,TRUE,FALSE,97,150,1
Good,84,222,7,101,25,0,0,100,122,7,7,39,1,24,0,1,1,9,,5,1,0,46,FALSE,FALSE,64,175,0
Good,70,133,5,63,21,2,1,91,9,6,5,23,3,18,36,0,0,16,,2,1,0,30,TRUE,TRUE,91,172,3
Good,82,271,2,79,25,0,0,100,122,7,7,33,3,31,2,1,1,2,74,4,2,0,50,FALSE,FALSE,76,121,0
Bad,72,120,3,51,16,1,0,94,80,7,5,19,2,53,36,3,3,44,81,5,9,0,100,TRUE,FALSE,84,157,2
Good,78,423,1,138,30,0,0,97,32,7,6,31,5,23,36,1,1,26,58,4,1,1,32,TRUE,FALSE,97,73,1
Bad,63,129,1,50,6,3,2,75,6,5,2,12,2,33,0,4,4,17,,2,1,0,75,TRUE,TRUE,50,92,3
Good,76,187,5,70,64,0,0,100,122,7,7,65,2,30,2,1,1,26,75,7,4,1,55,FALSE,FALSE,98,346,0
Bad,80,175,6,59,19,0,0,100,122,7,7,19,1,16,0,3,3,12,,6,1,0,58,FALSE,FALSE,100,108,0
Bad,61,215,28,105,18,4,2,68,11,6,4,25,0,44,2,2,2,34,89,2,2,0,71,TRUE,TRUE,72,116,8
Good,80,290,5,96,14,0,0,100,122,7,7,43,2,21,36,1,1,29,,5,2,1,58,FALSE,FALSE,33,148,0
Good,79,325,13,99,23,1,0,96,75,7,5,24,0,29,0,1,1,50,30,4,3,1,70,TRUE,FALSE,96,74,1
Bad,86,438,4,81,12,0,0,92,62,7,6,12,1,42,0,0,0,5,,3,1,0,57,TRUE,FALSE,100,27,1
Bad,70,144,2,70,34,0,0,100,122,7,7,35,3,51,2,6,6,61,51,5,5,1,83,FALSE,FALSE,97,241,0
Good,80,148,3,103,16,0,0,100,122,7,7,16,1,75,3,1,1,47,51,1,6,1,88,FALSE,FALSE,100,107,0
Bad,87,285,2,73,26,0,0,100,122,7,7,29,3,45,0,0,0,3,108,3,5,0,67,FALSE,FALSE,90,101,0
Bad,64,131,20,73,6,1,0,56,1,6,5,9,0,22,0,1,1,67,79,2,2,0,100,TRUE,TRUE,67,68,4
Bad,70,43,4,21,11,0,0,100,122,7,7,13,4,38,0,3,3,64,98,4,3,1,88,FALSE,FALSE,85,295,0
Bad,59,45,11,31,10,2,1,73,11,5,4,15,1,20,0,0,0,14,,6,1,0,88,TRUE,TRUE,67,326,5
Bad,80,150,2,64,18,0,0,95,19,7,6,19,2,68,9,0,0,8,91,1,2,0,50,TRUE,FALSE,95,126,1
Bad,57,150,6,18,2,1,1,67,16,7,4,9,2,33,7,0,0,22,,1,1,1,67,TRUE,FALSE,22,60,3
Bad,80,250,1,76,10,0,0,92,62,7,6,12,1,33,0,2,2,4,7,3,3,1,75,TRUE,FALSE,83,48,1
Good,62,164,7,64,21,0,0,86,5,6,6,21,1,19,0,0,0,70,52,5,1,1,75,TRUE,TRUE,100,127,3
Good,75,413,9,112,33,0,0,100,122,7,7,33,1,30,0,0,0,59,49,5,2,1,80,FALSE,FALSE,100,80,0
Bad,69,125,2,60,7,2,2,80,38,7,3,10,3,30,0,5,3,52,93,2,1,1,75,TRUE,FALSE,70,79,2
Good,57,183,4,73,24,0,0,79,2,6,6,24,3,29,1,4,4,59,77,6,3,2,82,TRUE,TRUE,100,130,6
Good,87,193,2,83,36,0,0,100,122,7,7,40,1,23,0,2,2,1,,5,1,0,38,FALSE,FALSE,90,206,0
Bad,79,196,5,97,28,0,0,100,122,7,7,29,2,48,0,0,0,40,,4,1,1,83,FALSE,FALSE,97,147,0
Good,87,367,10,173,26,0,0,100,122,7,7,27,2,44,17,0,0,2,,5,2,0,58,FALSE,FALSE,96,73,0
Bad,58,194,5,83,23,1,1,85,2,4,4,26,2,35,0,0,0,72,95,9,2,3,92,TRUE,TRUE,88,133,4
Good,74,52,12,31,10,0,0,100,122,7,7,10,0,60,0,0,0,38,61,2,3,2,83,FALSE,FALSE,100,189,0
Good,79,366,3,94,53,0,0,100,122,7,7,53,2,23,16,0,0,16,64,5,4,0,39,FALSE,FALSE,100,144,0
Good,70,141,8,145,17,3,2,80,29,7,2,20,1,20,16,0,0,46,91,5,2,1,100,TRUE,FALSE,85,141,4
Bad,65,216,6,80,19,1,0,70,7,6,5,20,1,30,0,0,0,21,,2,1,0,38,TRUE,TRUE,95,92,6
Bad,62,166,1,48,43,0,0,100,122,7,7,44,6,41,0,10,10,55,84,6,4,5,59,FALSE,FALSE,98,263,0
Good,81,220,3,86,44,0,0,100,122,7,7,46,3,11,0,2,2,0,,1,1,0,14,FALSE,FALSE,96,208,0
Bad,88,109,62,87,8,0,0,100,122,7,7,8,0,50,1,0,0,0,3,0,1,0,50,FALSE,FALSE,100,73,0
Good,77,213,7,102,35,0,0,91,18,7,6,37,1,43,36,0,0,4,53,4,4,0,69,TRUE,FALSE,95,173,4
Good,65,169,32,78,17,4,3,70,23,7,3,20,0,30,1,7,7,5,27,2,4,1,60,TRUE,FALSE,85,118,6
Good,63,112,7,45,37,0,0,100,122,7,7,37,9,5,0,2,2,25,,10,2,1,56,FALSE,FALSE,100,327,0
Good,87,165,5,79,14,0,0,100,122,7,7,15,4,20,4,1,1,3,,1,1,0,33,FALSE,FALSE,93,90,0
Good,72,197,4,64,24,0,0,100,122,7,7,24,2,33,4,1,1,25,83,8,3,2,65,FALSE,FALSE,100,121,0
Good,84,127,16,72,8,0,0,100,122,7,7,8,0,75,6,0,0,13,52,1,4,0,100,FALSE,FALSE,100,62,0
Bad,58,30,15,24,4,0,0,25,3,6,6,4,0,50,0,0,0,30,,1,1,1,100,TRUE,TRUE,100,129,3
Bad,88,163,11,87,9,0,0,90,62,7,6,10,1,20,0,0,0,2,,2,2,0,40,TRUE,FALSE,90,61,1
Good,71,291,3,91,16,0,0,88,22,7,6,17,1,47,10,0,0,31,60,4,6,1,83,TRUE,FALSE,94,58,3
Bad,52,141,16,75,22,9,6,75,18,2,2,29,0,39,0,4,4,61,73,3,2,0,71,TRUE,TRUE,76,204,8
Bad,64,79,4,41,16,0,0,100,122,7,7,17,4,24,6,0,0,79,95,6,3,5,91,FALSE,FALSE,94,212,0
Bad,63,27,3,14,8,0,0,100,122,7,7,8,3,50,0,1,1,79,95,3,2,1,83,FALSE,FALSE,100,286,0
Good,76,254,8,85,16,0,0,100,122,7,7,16,2,31,0,0,0,49,94,2,3,2,71,FALSE,FALSE,100,63,0
Bad,75,146,1,69,16,0,0,100,122,7,7,20,6,25,36,2,2,43,98,3,2,0,63,FALSE,FALSE,80,136,0
Bad,61,180,1,62,12,3,3,75,13,7,3,17,2,35,0,1,1,31,79,2,2,0,50,TRUE,FALSE,71,94,5
Bad,59,163,18,80,5,1,1,83,62,7,6,6,0,83,6,0,0,101,42,1,2,1,100,TRUE,FALSE,83,37,2
Bad,55,253,3,74,31,1,1,97,2,2,6,31,1,42,0,2,2,11,92,4,6,0,80,TRUE,TRUE,100,122,1
Good,60,154,5,76,35,3,1,82,4,6,4,38,3,34,4,1,1,26,3,6,2,2,89,TRUE,TRUE,92,245,7
Good,89,193,18,97,19,0,0,100,122,7,7,20,0,45,17,0,0,4,,2,1,0,75,FALSE,FALSE,95,103,0
Bad,80,290,5,82,14,0,0,87,17,7,6,15,2,60,0,0,0,16,44,3,4,0,78,TRUE,FALSE,93,52,2
Bad,69,257,2,111,10,2,0,71,0,6,5,14,1,43,36,1,1,51,,3,1,0,80,TRUE,TRUE,71,54,5
Bad,87,277,6,81,18,0,0,100,122,7,7,18,2,56,0,0,0,16,88,2,2,0,67,FALSE,FALSE,100,65,0
Good,87,304,7,91,23,0,0,100,122,7,7,24,1,63,0,0,0,8,73,5,2,0,78,FALSE,FALSE,96,79,0
Good,64,216,2,86,18,5,1,60,42,7,4,25,2,36,0,4,3,40,58,1,4,1,60,TRUE,FALSE,72,115,10
Bad,92,474,57,258,8,0,0,100,122,7,7,8,0,0,2,1,1,1,,3,2,0,50,FALSE,FALSE,100,17,0
Bad,73,288,3,131,23,6,4,89,21,7,5,27,2,48,0,4,4,24,48,8,3,2,92,TRUE,FALSE,85,93,3
Good,76,193,9,90,32,0,0,100,122,7,7,35,2,40,0,1,1,37,,3,1,1,67,FALSE,FALSE,91,180,0
Bad,69,284,4,73,24,2,0,74,16,7,5,29,1,30,4,1,1,12,48,1,3,0,57,TRUE,FALSE,83,102,8
Bad,70,167,2,61,19,0,0,70,11,6,6,20,2,35,0,1,1,4,76,3,3,0,70,TRUE,TRUE,95,119,6
Bad,65,176,1,19,18,0,0,100,122,7,7,37,7,10,36,4,4,38,100,8,2,2,59,FALSE,FALSE,49,209,0
Bad,78,41,3,16,3,0,0,100,122,7,7,3,2,67,36,16,16,0,,0,1,1,50,FALSE,FALSE,100,71,0
Bad,58,247,2,62,30,0,0,94,1,6,6,32,4,34,9,0,0,62,70,5,2,2,89,TRUE,TRUE,94,129,2
Good,68,148,7,65,17,0,0,83,31,7,6,18,1,44,0,0,0,28,48,2,2,2,40,TRUE,FALSE,94,121,4
Bad,65,101,2,34,15,0,0,100,122,7,7,18,5,33,0,9,9,72,100,5,3,4,69,FALSE,FALSE,83,176,0
Bad,72,255,4,12,5,0,0,100,122,7,7,25,4,60,0,3,3,4,85,1,2,0,75,FALSE,FALSE,20,98,0
Good,83,294,2,106,22,2,1,92,43,7,4,47,3,16,2,1,1,0,35,2,2,0,44,TRUE,FALSE,47,159,4
Bad,65,118,2,49,24,0,0,96,62,7,6,25,6,40,0,2,2,28,84,4,4,1,62,TRUE,FALSE,96,210,1
Bad,59,120,7,32,7,1,1,86,5,6,6,24,2,57,36,1,1,42,95,1,2,0,100,TRUE,TRUE,29,198,4
Good,60,125,6,45,39,0,0,95,6,6,6,39,3,18,0,1,1,27,54,7,6,2,42,TRUE,TRUE,100,310,2
Bad,59,225,2,73,52,0,0,98,8,6,6,54,6,54,0,6,6,45,28,7,3,2,83,TRUE,TRUE,96,239,2
Good,67,37,5,19,18,0,0,100,122,7,7,18,5,6,0,2,2,30,,10,1,1,65,FALSE,FALSE,100,474,0
Bad,65,399,15,147,11,2,2,80,5,2,2,15,0,7,0,1,1,30,,6,2,0,60,TRUE,TRUE,73,38,3
Good,72,29,3,20,11,0,0,100,122,7,7,11,3,18,0,2,1,6,,3,1,0,44,FALSE,FALSE,100,367,0
Good,73,418,9,111,18,2,1,90,4,2,2,20,1,25,0,0,0,11,,2,1,0,43,TRUE,TRUE,90,48,2
Bad,67,110,7,46,33,1,1,97,9,6,4,38,1,26,36,1,1,41,23,9,2,2,87,TRUE,TRUE,87,342,2
Bad,60,65,8,28,22,1,1,95,14,7,6,27,4,14,14,0,0,27,59,7,3,1,50,TRUE,FALSE,81,409,2
Bad,67,176,5,79,22,2,0,83,61,7,5,24,4,21,0,0,0,61,95,7,2,2,90,TRUE,FALSE,92,136,5
Good,68,178,1,66,21,0,0,96,7,6,6,44,6,74,5,0,0,38,80,3,3,2,75,TRUE,TRUE,48,246,2
Bad,57,208,4,69,20,0,0,65,3,6,6,20,2,40,0,6,6,70,100,4,3,2,64,TRUE,TRUE,100,96,7
Good,57,298,4,58,47,1,0,92,1,6,5,48,5,75,0,1,1,51,77,5,7,1,92,TRUE,TRUE,98,161,4
Bad,82,181,10,92,10,0,0,90,71,7,6,10,2,30,3,1,1,5,,2,1,0,60,TRUE,FALSE,100,55,1
Bad,59,142,18,50,14,2,1,80,10,6,5,16,0,50,0,1,1,82,48,3,3,1,78,TRUE,TRUE,88,112,4
Bad,70,97,7,53,14,0,0,94,62,7,6,16,1,38,0,1,1,17,69,2,3,0,60,TRUE,FALSE,88,163,1
Good,73,69,15,41,9,0,0,100,122,7,7,9,0,56,1,0,0,87,83,1,2,1,75,FALSE,FALSE,100,129,0
Good,82,241,2,93,21,0,0,100,122,7,7,22,1,32,1,1,1,12,98,3,2,1,56,FALSE,FALSE,95,91,0
Good,79,256,11,79,42,0,0,100,122,7,7,44,1,23,10,0,0,17,54,8,3,1,52,FALSE,FALSE,95,171,0
Good,90,528,1,210,10,0,0,100,122,7,7,11,1,18,2,1,1,2,,2,1,0,75,FALSE,FALSE,91,21,0
Bad,63,43,10,27,15,0,0,100,122,7,7,15,1,20,0,1,1,53,77,9,2,1,85,FALSE,FALSE,100,341,0
Bad,68,353,1,131,10,7,2,50,20,7,4,20,1,40,0,2,2,27,,2,2,1,50,TRUE,FALSE,50,56,10
Good,83,227,13,95,18,0,0,100,122,7,7,19,0,37,0,0,0,26,33,2,2,0,50,FALSE,FALSE,95,83,0
Good,76,125,8,67,11,0,0,100,122,7,7,12,2,42,36,2,2,59,,2,1,0,100,FALSE,FALSE,92,95,0
Bad,58,178,13,78,39,2,2,79,7,6,2,43,0,42,0,6,5,40,79,6,3,1,64,TRUE,TRUE,91,240,10
Good,85,142,75,106,4,0,0,100,122,7,7,4,0,0,1,0,0,37,,4,2,0,100,FALSE,FALSE,100,28,0
Good,67,183,17,76,36,1,1,97,2,3,3,41,0,16,4,2,2,2,60,2,3,0,36,TRUE,TRUE,88,223,2
Bad,55,228,3,101,27,2,0,72,1,6,5,32,1,34,0,5,5,14,62,7,4,1,65,TRUE,TRUE,84,140,9
Good,73,264,3,71,29,0,0,93,25,7,6,29,5,21,0,0,0,14,72,9,3,0,62,TRUE,FALSE,100,109,3
Bad,81,74,2,47,24,0,0,100,122,7,7,26,1,12,36,2,2,8,,2,1,0,38,FALSE,FALSE,92,347,0
Bad,65,115,11,43,19,0,0,90,1,6,6,20,1,50,36,0,0,52,77,5,6,0,85,TRUE,TRUE,95,172,2
Good,81,192,4,40,12,0,0,100,122,7,7,12,2,29,36,1,1,8,14,3,2,0,56,FALSE,FALSE,100,62,0
Good,82,273,6,103,28,0,0,100,122,7,7,32,1,31,1,1,1,2,,4,3,0,50,FALSE,FALSE,88,117,0
Bad,64,88,5,44,16,1,1,83,11,2,2,18,2,44,0,0,0,43,63,3,2,0,56,TRUE,TRUE,89,202,4
Good,75,163,7,78,27,0,0,100,122,7,7,31,1,35,23,0,0,37,67,4,2,2,55,FALSE,FALSE,87,189,0
Good,79,142,20,74,23,0,0,100,122,7,7,25,0,28,0,1,1,23,,3,1,0,83,FALSE,FALSE,92,175,0
Good,92,398,76,233,5,0,0,100,122,7,7,5,0,0,0,0,0,0,,0,2,1,0,FALSE,FALSE,100,13,0
Bad,59,155,7,47,40,0,0,90,2,6,6,42,3,67,36,3,3,58,68,6,11,1,94,TRUE,TRUE,95,269,5
Good,88,360,3,115,26,0,0,100,122,7,7,28,1,39,1,2,2,4,,4,1,0,45,FALSE,FALSE,93,78,0
Good,70,181,7,64,13,1,1,93,29,7,2,14,2,36,36,0,0,54,83,4,2,0,100,TRUE,FALSE,93,77,1
Good,77,296,6,98,45,0,0,100,122,7,7,45,1,16,36,2,2,12,,7,1,2,36,FALSE,FALSE,100,152,0
Bad,65,64,6,40,14,0,0,100,122,7,7,14,1,36,0,1,1,95,,3,2,3,86,FALSE,FALSE,100,215,0
Bad,83,96,4,198,15,1,0,94,52,7,5,16,4,13,36,1,1,5,,4,2,0,50,TRUE,FALSE,94,165,1
Good,81,407,8,90,31,0,0,100,122,7,7,33,1,36,0,4,4,0,76,2,2,1,45,FALSE,FALSE,94,81,0
Bad,61,170,7,83,26,7,0,80,58,7,5,35,1,37,0,0,0,90,70,5,9,5,94,TRUE,FALSE,74,205,7
Bad,71,174,5,42,25,0,0,96,12,7,6,25,8,20,4,2,2,12,68,3,2,0,29,TRUE,FALSE,100,143,1
Bad,58,163,6,101,20,3,1,71,16,7,5,24,2,29,2,4,4,86,,5,2,2,67,TRUE,FALSE,83,146,7
Bad,78,199,7,73,39,0,0,95,22,7,6,40,1,21,36,1,0,15,19,2,5,1,50,TRUE,FALSE,98,200,2
Bad,82,219,16,79,18,0,0,100,122,7,7,18,0,17,36,0,0,38,,4,1,0,56,FALSE,FALSE,100,82,0
Bad,73,163,13,85,27,0,0,97,52,7,6,29,0,41,1,0,0,34,39,4,2,2,60,TRUE,FALSE,93,177,1
Good,84,541,14,156,21,0,0,100,122,7,7,23,0,22,0,0,0,0,,1,1,0,29,FALSE,FALSE,91,42,0
Bad,57,121,12,63,7,4,4,70,57,2,2,11,0,60,0,0,0,38,78,1,3,0,100,TRUE,TRUE,64,90,4
Bad,67,112,3,74,4,1,0,80,30,7,5,5,1,100,36,5,5,30,,3,1,1,100,TRUE,FALSE,80,44,1
Bad,77,169,29,94,13,1,1,93,32,7,2,15,0,33,1,0,0,0,,1,1,0,50,TRUE,FALSE,87,88,2
Bad,70,201,2,114,9,7,7,75,38,7,2,13,2,31,6,0,0,2,,1,1,0,50,TRUE,FALSE,69,64,4
Bad,73,226,8,83,33,0,0,100,122,7,7,66,1,45,1,1,1,4,83,6,4,1,71,FALSE,FALSE,50,291,0
Good,85,241,7,120,36,0,0,100,122,7,7,36,1,39,2,1,1,1,20,3,4,0,50,FALSE,FALSE,100,149,0
Bad,79,192,20,122,4,0,0,100,122,7,7,5,0,20,0,3,3,40,53,1,1,1,75,FALSE,FALSE,80,26,0
Bad,74,279,3,90,31,1,1,97,12,7,4,33,3,18,0,2,2,5,95,4,3,0,47,TRUE,FALSE,94,118,1
Bad,59,118,4,33,12,2,0,87,1,5,5,15,5,53,36,1,1,18,87,1,2,0,60,TRUE,TRUE,80,126,2
Good,66,130,2,44,12,0,0,92,4,6,6,13,1,23,0,1,1,32,52,5,2,1,70,TRUE,TRUE,92,99,2
Bad,65,144,13,84,9,0,0,73,54,7,6,11,0,18,0,0,0,78,,7,1,2,89,TRUE,FALSE,82,76,3
Good,71,211,2,74,28,0,0,93,4,6,6,30,4,20,3,2,2,12,82,7,2,0,60,TRUE,TRUE,93,142,3
Good,79,243,5,84,29,1,1,81,6,6,4,39,1,35,0,1,1,0,,3,2,1,50,TRUE,TRUE,74,160,8
Bad,62,377,5,86,24,3,2,92,15,7,2,26,2,27,11,0,0,70,76,9,4,4,68,TRUE,FALSE,92,69,3
Good,90,374,6,99,19,0,0,100,122,7,7,19,2,74,6,0,0,5,95,1,2,0,60,FALSE,FALSE,100,51,0
Good,60,143,1,74,22,1,1,96,5,2,2,29,4,34,0,3,3,30,96,6,3,2,82,TRUE,TRUE,76,201,2
Good,88,393,16,158,15,0,0,100,122,7,7,16,0,13,0,0,0,9,,3,1,0,50,FALSE,FALSE,94,41,0
Good,75,356,2,101,32,0,0,97,61,7,6,34,1,18,0,3,3,34,,11,1,2,60,TRUE,FALSE,94,95,2
Bad,67,204,4,80,19,1,1,95,65,7,2,23,6,39,0,0,0,3,67,1,3,0,40,TRUE,FALSE,83,112,2
Bad,80,132,3,51,13,0,0,92,62,7,6,13,1,46,1,4,4,2,77,1,3,0,100,TRUE,FALSE,100,98,2
Bad,56,72,1,28,6,3,3,88,41,7,2,8,3,25,36,2,2,86,3,5,1,3,100,TRUE,FALSE,75,110,1
Good,86,337,1,102,21,0,0,100,122,7,7,22,3,27,1,4,4,3,100,2,4,0,50,FALSE,FALSE,95,65,0
Bad,68,142,1,72,55,0,0,100,122,7,7,67,8,45,1,2,2,58,81,9,4,5,59,FALSE,FALSE,82,469,0
Good,66,386,23,101,23,0,0,96,6,6,6,23,0,30,14,0,0,65,60,7,2,2,100,TRUE,TRUE,100,59,1
Bad,67,251,2,76,31,0,0,97,62,7,6,34,4,59,36,3,3,79,84,6,5,2,92,TRUE,FALSE,91,135,2
Bad,61,178,7,70,26,0,0,89,4,6,6,27,2,52,36,0,0,31,68,3,3,1,86,TRUE,TRUE,96,151,3
Good,77,154,5,128,17,0,0,100,122,7,7,17,1,33,0,1,1,48,,5,1,1,75,FALSE,FALSE,100,110,0
Bad,61,132,8,69,3,1,1,80,12,7,2,5,2,100,0,0,0,30,94,3,2,1,100,TRUE,FALSE,60,38,1
Bad,77,61,2,33,14,0,0,100,122,7,7,15,1,7,21,0,0,27,,4,1,0,56,FALSE,FALSE,93,242,0
Bad,72,177,0,48,31,0,0,100,122,7,7,34,7,47,0,12,12,45,93,6,6,2,60,FALSE,FALSE,91,191,0
Bad,40,166,3,100,12,11,7,48,1,2,2,23,1,17,3,5,5,72,,11,1,3,87,TRUE,TRUE,52,138,12
